86426	she should ask few native american what their take on this is	OFF	UNT	NULL
90194	go home you re drunk maga trump2020	OFF	TIN	IND
16820	amazon is investigating chinese employee who are selling internal data to third party seller looking for an edge in the competitive marketplace amazon maga kag china tcot	NOT	NULL	NULL
62688	someone should vetaken this piece of shit to volcano	OFF	UNT	NULL
43605	obama wanted liberal amp illegals to move into red state	NOT	NULL	NULL
97670	liberal are all kookoo	OFF	TIN	OTH
77444	oh no tough shit	OFF	UNT	NULL
52415	wa literally just talking about this lol all mass shooting like that have been set ups it propaganda used to divide u on major issue like gun control and terrorism	OFF	TIN	GRP
45157	buy more icecream	NOT	NULL	NULL
13384	canada doesn need another cuck we already have enough looneyleft liberal king up our great country qproofs trudeaumustgo	OFF	TIN	IND
82776	it not my fault you support gun control	NOT	NULL	NULL
42992	what the difference between kavanaugh and one of these men admitted to groping 15 year old girl year ago the other is going to be confirmed to the scj demsarefrauds demsaredone walkawaydemocrats2018 redwave voteredsaveamerica trumptrain maga	NOT	NULL	NULL
28414	you are lying corrupt traitor nobody want to hear anymore of your lie deepstatecorruption	OFF	TIN	IND
54920	it should scare every american she is playing hockey with warped puck	NOT	NULL	NULL
56392	like my soda like like my boarder with lot of ice	NOT	NULL	NULL
86735	you are also the king of taste	NOT	NULL	NULL
95686	maga sing like no one is listening ️ love like you ve never been hurt ️ vote gop when no one is watching and don listen to liberal dirt	NOT	NULL	NULL
71446	5 5 the time is right for this house to respond to the concern of all canadian four out of five canadian support stronger gun control and with good reason guncontrol cdnpoli cdnhist	NOT	NULL	NULL
23958	besides jax mom and maybe ope he is hand down my favorite he like the only good person on the show	NOT	NULL	NULL
28195	gun control that is all these kid are asking for	OFF	TIN	OTH
56117	lol throwing the bullshit flag on such nonsense putuporshutup kavanaugh maga callthevotealready	OFF	TIN	IND
67757	you are correct	NOT	NULL	NULL
12681	kind of like when conservative wanna associate everyone to their left a communist antifa member	OFF	TIN	GRP
82904	da fuck is going on people there the men room and the woman room pick one and stick it	OFF	TIN	GRP
63236	been willie fan since before most of you were born love that he is holding rally with beto exactly which fan are furious could you give some specific	NOT	NULL	NULL
77665	tbh these day just don like people in general just don connect with people these day just annoyance	OFF	TIN	IND
83484	south korean official leader will discus specific denuke measure in pyongyang tcot maga rednationrising	NOT	NULL	NULL
74932	you can tell he is hooper too	NOT	NULL	NULL
91252	feel like he is better chasing the title	NOT	NULL	NULL
25440	she to whom are you referring to hillary you know what is tiresome bernie supporter bashing hillary clinton she is an actual democrat who raise money for the democratic party and doesn bash them she ha positive message so who is dividing the left	OFF	UNT	NULL
81613	glad to see your friend are supporting metis right a much a you are supporting zionist	NOT	NULL	NULL
82333	yes you are but wa asking what is it about the movie ‍ ️	NOT	NULL	NULL
12609	the only thing the democrat have is lying and stalling to stop trump from being president what have they done for you lately trump kavanaugh maga demsuck	OFF	TIN	GRP
13017	no wonder he is being apologetic and more social these day	NOT	NULL	NULL
18129	any update re ending your blatant racism a windrush amp grenfell prof you are alloutpolitics politicslive pmqs	NOT	NULL	NULL
70380	do you know what going to happen now m going to have to lay in bed and cry while listen to kelly clarkson thanks free speech antifa	NOT	NULL	NULL
12108	you are not very smart are you why do you think gen flynn sentencing keep being rescheduled	OFF	TIN	IND
14726	that expected if you placate the violent leftist terrorist kavanaughconfirmation woke	OFF	TIN	GRP
74358	blow hard	NOT	NULL	NULL
82599	that mean you are max lvl twitter user and maybe should try new game	NOT	NULL	NULL
40212	please explain what controlled opposition mean a for bernier escaping he split with the rest of the conservative because he even more racist and exclusionary than they want to be	NOT	NULL	NULL
78367	socialist politics that stand up for the downtrodden and well done for conflating criticism of israel with anti semitism you are also part of the problem	NOT	NULL	NULL
66596	3 nina one of the reason didn read this book for so long wa because wa so worried about her character should ve trusted everyone nina is goddamn goddess would die for thousand time over she is big and bold and lovely and perfect her arc is perfect	NOT	NULL	NULL
70999	please vote no on kavanaugh he is not fit for scotus and allegation about woman and shady financials should disqualify him ruleoflaw matter metoo countryoverparty withdrawkavanaugh stopkavanaugh	NOT	NULL	NULL
36026	ppl who say m not racist are racist you are racist repeat after me	NOT	NULL	NULL
29439	kathy the patriot you have to love our great president trump spine of s steel changing it on trade amp everything for american americafirst usa maga leadership amp respect economy job peacethrustrength god bless trump amp theusa	NOT	NULL	NULL
74477	wow you liberal really don have sense of humor	NOT	NULL	NULL
49845	m so fucking ready	NOT	NULL	NULL
32305	holy moly if the catholic people haven been awakened by this falseprophet lunatic	NOT	NULL	NULL
77243	lol yeah per dina he is there everyday per claudia no horse got vet care unless it wa for donation example limping etc	NOT	NULL	NULL
73205	what surprise same a antifa blm and so on and so on soros is america worst enemy in history he belief the only way to take down the usa is from withing and he right but it not gunna happen	NOT	NULL	NULL
47311	me too her wedding wa the best she is very pretty	NOT	NULL	NULL
48553	no conflict here don look at this soros involved in violent left agenda of antifa also	NOT	NULL	NULL
75689	any of your announcement every come to fruition or is it basically stealing labour idea to get few more vote	NOT	NULL	NULL
84102	4 out of 10 british people are basically full on racist 4 out of 10 voter vote for the conservative coincidence	OFF	TIN	GRP
10607	guncontrol advocate must stop falling all over themselves to assure electorate that they too love the horrific 2a	NOT	NULL	NULL
43913	hi there we love what huge fan of camila mendes you are would it be alright if we used your tweet about her in our promotional material	NOT	NULL	NULL
98992	fuck off	OFF	TIN	IND
92056	certainly weird view toward the margaret sanger geonicidal philosophy of aborting minority d like to know if the black population that suffers the most share her opinion	NOT	NULL	NULL
33853	the prison system is so fucked why are they still getting away with what is potentially murder with intent if the prisoner die in the hurricane they did this in louisiana and like 500 inmate went missing	OFF	TIN	OTH
75215	she is useless attempt to do the right thing but never follows through	OFF	TIN	IND
96218	walkaway liberal your party is poison	NOT	NULL	NULL
57013	grateful trump doesn have dog in the white house he is cruel man	OFF	TIN	IND
20883	you are lying stick with the fact we pay more than that now	NOT	NULL	NULL
74831	trump kick dem butt it so fun	OFF	TIN	IND
53264	he is dumb and dumber all in one president it a two for one	OFF	TIN	IND
28204	toxictory minister attempted to expense 50 charity donation it what do toriesmustgo dissolvetheunion	NOT	NULL	NULL
42024	ur so straight forword man saw in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and really like ur this quality that even gather with ur senior artist love for manmarziyaan	NOT	NULL	NULL
84664	and this from the clown that should be in prison	OFF	TIN	IND
54842	did twitter silence alex jones in retaliation of him asking twitter jack question	NOT	NULL	NULL
48995	thats because you are an old man	OFF	TIN	IND
47153	they are obstructionist anti american pharisee ask them what they are running on and you get nothing maga	OFF	TIN	OTH
76826	no you re not you re here 2 represent the alinskyite orwellian leftist tool amp fool view on thing like 99 9 of the marxist amp antifa similar 2u psst and b4u use the word fascist or fascism again go ahead amp read souza book the big lie right now know squat about either	NOT	NULL	NULL
27645	do remember but somehow centrist antifa hater can never quite seem to bring themselves to condemn such thing	NOT	NULL	NULL
64429	mean it worked for gun control right	OFF	TIN	GRP
20943	think the last thing on the wh or trump mind is april ryan she need to stop flattering herself she not a important a she think she is	NOT	NULL	NULL
78064	principled conservative are hypocrickets	NOT	NULL	NULL
14122	don forget amp democrat backed antifa	NOT	NULL	NULL
72353	she is beautiful person to teach value to her kid teaching them they are royalty but keep to keep it from going to their head stay real ️	NOT	NULL	NULL
39051	bring out his antifa criminal son to campaign for him	NOT	NULL	NULL
54546	didn watch and will not watch watching the september 11th story and how we came together and stood shoulder to shoulder made me proud even with all of our issue yet the people playing damn game cannot stand for this moment protest on saturday	NOT	NULL	NULL
50759	a tear is made of 1 water and 99 feeling	NOT	NULL	NULL
75992	trump address gun control representing the nra will not let you down he say	NOT	NULL	NULL
45068	she is drinking so much koolaid she bloated	OFF	TIN	IND
17259	holder need to be prosecuted	NOT	NULL	NULL
95225	but but both player were woman and both were woman of color	NOT	NULL	NULL
84667	the institution only let her tweet when she behaves she is window licker	OFF	TIN	IND
14574	babysitting 3 kid people how old do you think she is she ha three kid me dont get mad don get mad they don know they don know	NOT	NULL	NULL
23784	well	NOT	NULL	NULL
93119	wtc this is threat maga qanon wakeupamerica	OFF	TIN	IND
30115	it easily digestible content there no need for nuance or to even understand the story they can show picture of an antifa and get the base level emotional response their content requires in order to be profitable	NOT	NULL	NULL
69281	try looking for plain old democrat the liberal are the one which you can have conversation with	NOT	NULL	NULL
15322	great news old moonbeam just went into coma	NOT	NULL	NULL
75089	omg he is so extra ily	NOT	NULL	NULL
21379	please call trump out for what he is narcissistic sociopath	OFF	TIN	IND
43133	unfortunately in america system like that would be called racist liberal believe exam are racist against minority group	NOT	NULL	NULL
52102	know she is still alive but wondering if her career wa railroaded odd loved her especially that day	NOT	NULL	NULL
59537	guy you are always present bet why lol	NOT	NULL	NULL
44209	what baby	NOT	NULL	NULL
96664	you are very persuasive fam	NOT	NULL	NULL
12559	that nothing new she wa going to vote no anyway we will vote no to liberal in november	NOT	NULL	NULL
61914	burt cool dude	NOT	NULL	NULL
32317	maga if you are all in for trump follow me and will follow back	NOT	NULL	NULL
94767	thank i finally at the point where m okay with using heat on it again m so happy	NOT	NULL	NULL
64835	kind of like what trump doe all the time huh	NOT	NULL	NULL
41353	because former antifa in the white house and they do not arrest her and citizen if they arrest someone explain to me	NOT	NULL	NULL
52252	fuck em	OFF	TIN	GRP
91001	good move he is the big loser	OFF	TIN	IND
18495	let get to the bottom of this dm me your zipcode and ll check it out we have your back and we will make sure you are enjoying the best that tv ha to offer asap nevinbruce	NOT	NULL	NULL
76680	for the record know doug jones personally and he is only sen bc we had no other credible choice he won be at the next election	NOT	NULL	NULL
88013	the president feeling are totally opposite of cnn feeling so what doe that say about cnn they re all liberal	NOT	NULL	NULL
66349	it literally narrative that is on par with nazi punch antifa punch they are two side of the same coin noooooooo one of these group want to exterminate or deport all poc and jew the other just want to prevent them from doing that and this comparison benefit fash	OFF	UNT	NULL
80561	there are many dumb argument for gun control but this may be the dumbest and most common	OFF	TIN	IND
16052	she is idk what going on	NOT	NULL	NULL
49996	yall need to chill he is having really abysmal 2nd half rizzo had an abysmal 1st half it baseball it happens doe he have thing he still need to work on yes ha the power number dropped yes but he could bounce back at anytime	NOT	NULL	NULL
77086	dude you are old lmao p go pack go	NOT	NULL	NULL
10972	that why trump supporter can even wear hat without being abused if they meet the animal on the left attack them antifa is branch of the communist socialist nazi democrat party	NOT	NULL	NULL
69160	the laugh ve gotten from you are enough	NOT	NULL	NULL
28380	well	NOT	NULL	NULL
40252	first of all they don even have pizza at panera	NOT	NULL	NULL
39907	please don kill me antifa on the other hand	OFF	TIN	IND
16164	did you see shanahan say spoon wa not 100 healthy this game obviously no excuse if you re out there but maybe it not the all is doom sort of thing it seemed during the game maybe he is still pretty good	NOT	NULL	NULL
52824	good girl	NOT	NULL	NULL
77294	she is an ugly black hearted troll	OFF	TIN	IND
13420	you are clearly not pokemon master have almost 400 in rare candy alone over 150 legacy moveset pokemon it just all depends on what you like to keep a collection piece and what you value in the game	NOT	NULL	NULL
16940	dont believe the hype	OFF	UNT	NULL
83816	followed all new maga please follow back	NOT	NULL	NULL
99156	protest reported in sunderland except these are football fan and one flag say westbrom on it getting worse now even a type maga mega mbga mcga conservative patriot muslim farleft leftist doomed to lose but do not realises it civilwar soon	NOT	NULL	NULL
11255	liberal would still vote for him they ll claim his comment were taken out of context and that he is still man of integrity	NOT	NULL	NULL
28841	we have been saved from you maga	OFF	TIN	IND
79060	you are bringing up honor and decency with that yoyo in the picture that rich	NOT	NULL	NULL
71682	good riddance	NOT	NULL	NULL
17577	she is goddess	NOT	NULL	NULL
27503	omg xd the worst or the best in my case is the best cuase it made me laught part wa her asking is he dead doe that hurt poor thing and the rest standin there like nope he is no suffering so he is dead yeah pretty dead	NOT	NULL	NULL
59998	you can probably imagine all the sjw snowflake that don feel safe working where there might be conservative lurking in the shadow conservative are now the ruskies of the 21st century	OFF	TIN	IND
81119	see may in the same light a yourself even the last election wa about her and not the conservative split is coming to the tory partyvery soon	NOT	NULL	NULL
28812	this all get damn these hater deleting you ig for no reason	OFF	TIN	GRP
84131	do you think canadian liberal will actually blame trudeau if he cost them this or a per standard push it off on u	NOT	NULL	NULL
23179	you warned everyone about josh gordon the last 4 month on daily basis m sure you are a shocked a am of what transpired today	NOT	NULL	NULL
28601	why can liberal read read it again	NOT	NULL	NULL
64776	sjshsj thats my job bitch	OFF	TIN	IND
95712	do they discus haiti	NOT	NULL	NULL
69972	what part of no collusion don you get this is why you are dumocrat	OFF	TIN	IND
37115	he is very skilled	NOT	NULL	NULL
80696	you are amazing	NOT	NULL	NULL
68163	fist pump wa for the troop	NOT	NULL	NULL
96789	if the reason for farakans illegal value are because he is black or muslim that would be reason to detest him believe his illegal value are simply result of bad character like his supporter	OFF	TIN	GRP
68629	let the leftist democrat riot in the street with their antifa counterpart	OFF	TIN	IND
